Editeur,Profil,Zone,Lieu_edition,Premiere_annee,Derniere_annee,Annees_actives,Titres
Leméac,Pilier,Urbain,"Montréal, Québec",2000,2021,22,338
Québec Amérique,Pilier,Urbain,"Montréal, Québec",2000,2021,22,331
Libre expression,Pilier,Urbain,"Montréal, Québec",2000,2021,22,282
Hurtubise,Pilier,Urbain,"Montréal, Québec",2000,2021,22,272
Les Éditeurs réunis,Pilier,Régions,"Marieville, Québec",2009,2021,13,263
XYZ,Pilier,Urbain,"Montréal, Québec",2000,2021,22,260
Boréal,Pilier,Urbain,"Montréal, Québec",2000,2021,22,232
VLB,Pilier,Urbain,"Montréal, Québec",2000,2021,22,207
AdA,Pilier,Banlieue,"Varennes, Québec",2001,2021,20,204
Triptyque,Pilier,Urbain,"Montréal, Québec",2000,2021,22,197
JCL,Pilier,Régions,"Chicoutimi, Québec",2000,2021,22,188
Saint-Jean,Pilier,Banlieue,"Laval, Québec",2000,2021,22,174
Alire,Pilier,Urbain,"Québec, Québec",2000,2021,22,134
L'Instant même,Pilier,Urbain,"Québec, Québec",2000,2021,22,133
Druide,Intermittent,Urbain,"Montréal, Québec",2012,2021,10,127
Éditions de Mortagne,Pilier,Banlieue,"Boucherville, Québec",2000,2021,21,125
Marchand de feuilles,Pilier,Urbain,"Montréal, Québec",2001,2021,21,95
Vents d'Ouest,Pilier,Régions,"Gatineau, Québec",2000,2020,20,90
Stanké,Pilier,Urbain,"Montréal, Québec",2000,2021,21,89
Le Quartanier,Pilier,Urbain,"Montréal, Québec",2003,2021,17,79
Fides,Pilier,Urbain,"Montréal, Québec",2001,2021,21,76
Héliotrope,Pilier,Urbain,"Montréal, Québec",2006,2021,16,76
Lanctôt,Intermittent,Urbain,"Montréal, Québec",2000,2007,8,76
La Plume d'or,Intermittent,Urbain,"Montréal, Québec",2012,2021,10,75
Les Intouchables,Pilier,Urbain,"Montréal, Québec",2000,2019,17,72
Alto,Pilier,Urbain,"Québec, Québec",2006,2021,16,71
GID,Pilier,Urbain,"Québec, Québec",2003,2021,17,71
Goélette,Pilier,Banlieue,"Saint-Bruno-de-Montarville, Québec",2010,2021,12,66
Lévesque,Pilier,Urbain,"Montréal, Québec",2010,2021,12,63
Michel Brûlé,Pilier,Urbain,"Montréal, Québec",2007,2019,13,61
Québecor,Pilier,Urbain,"Montréal, Québec",2000,2012,13,58
Septentrion,Pilier,Urbain,"Québec, Québec",2001,2018,17,56
Sémaphore,Pilier,Urbain,"Montréal, Québec",2003,2021,17,54
La plume d'oie,Pilier,Régions,"Cap-Saint-Ignace, Québec",2000,2015,14,53
Véritas,Intermittent,Banlieue,"Laval, Québec",2011,2018,8,53
Wellan,Pilier,Banlieue,"Mont-Saint-Hilaire, Québec",2010,2021,12,53
Éditions de la Pleine lune,Pilier,Urbain,"Montréal, Québec",2000,2021,21,53
Éditions de la Francophonie,Pilier,Banlieue,"Lévis, Québec",2001,2017,15,52
Coups de tête,Intermittent,Urbain,"Montréal, Québec",2007,2014,8,48
Humanitas,Pilier,Banlieue,"Brossard, Québec",2000,2010,11,48
Marcel Broquet,Intermittent,Régions,"Saint-Sauveur-des-Monts, Québec",2009,2020,10,48
Arion,Intermittent,Banlieue,"Lac-Beauport, Québec",2000,2006,7,46
La Courte échelle,Pilier,Urbain,"Montréal, Québec",2000,2013,14,44
Trois-Pistoles,Pilier,Urbain,"Montréal, Québec",2001,2021,15,43
Coup d'oeil,Intermittent,Banlieue,"Saint-Bruno-de-Montarville, Québec",2012,2020,9,41
La Peuplade,Pilier,Régions,"Chicoutimi, Québec",2006,2021,14,36
Éditions du Mécène,Intermittent,Régions,"Saint-Prosper, Québec",2003,2011,8,36
Québec-Livres,Intermittent,Urbain,"Montréal, Québec",2012,2017,6,35
Société des Écrivains,Ponctuel,Urbain,"Montréal, Québec",2015,2018,4,35
Varia,Intermittent,Urbain,"Montréal, Québec",2000,2005,6,34
JKA,Ponctuel,Régions,"Saint-Pie, Québec",2008,2011,4,32
Les Herbes rouges,Pilier,Urbain,"Montréal, Québec",2000,2021,18,32
Recto-Verso,Intermittent,Urbain,"Montréal, Québec",2013,2018,6,32
Crescendo!,Ponctuel,Urbain,"Québec, Québec",2020,2021,2,31
La Semaine,Intermittent,Urbain,"Montréal, Québec",2010,2020,8,31
Michel Quintin,Intermittent,Régions,"Waterloo, Québec",2006,2020,10,31
Éditions de l'Homme,Intermittent,Urbain,"Montréal, Québec",2012,2021,9,30
La Mèche,Intermittent,Urbain,"Montréal, Québec",2011,2021,10,29
Mots en toile,Pilier,Urbain,"Montréal, Québec",2009,2021,12,29
Pierre Tisseyre,Pilier,Banlieue,"Rosemère, Québec",2000,2021,16,29
Éditions du CRAM,Pilier,Urbain,"Montréal, Québec",2000,2018,12,29
Point de Fuite,Intermittent,Urbain,"Montréal, Québec",2000,2012,8,28
Pratiko,Intermittent,Banlieue,"Boisbriand, Québec",2005,2017,10,27
Tête première,Intermittent,Urbain,"Montréal, Québec",2013,2021,9,27
ÉdiLigne,Intermittent,Banlieue,"Delson, Québec",2015,2021,6,26
Béliveau,Intermittent,Banlieue,"Boucherville, Québec",2008,2021,10,25
L'Hexagone,Intermittent,Urbain,"Montréal, Québec",2000,2014,9,25
Trait d'union,Ponctuel,Urbain,"Montréal, Québec",2000,2004,5,25
Éditions de Ta mère,Pilier,Urbain,"Montréal, Québec",2007,2021,14,25
Trois,Intermittent,Banlieue,"Laval, Québec",2000,2005,6,24
La Caboche,Intermittent,Banlieue,"Beloeil, Québec",2006,2016,9,23
Mémoire d'encrier,Pilier,Urbain,"Montréal, Québec",2006,2021,12,23
Éditions au Carré,Pilier,Urbain,"Montréal, Québec",2006,2020,12,23
Hamac,Ponctuel,Urbain,"Québec, Québec",2017,2021,5,22
KLEMT,Intermittent,Régions,"Sainte-Adèle, Québec",2012,2021,9,22
Monarque,Ponctuel,Banlieue,"Varennes, Québec",2020,2021,2,22
Corbeau,Ponctuel,Banlieue,"Varennes, Québec",2020,2021,2,21
Le Cheval d'août,Intermittent,Urbain,"Montréal, Québec",2014,2021,8,21
Éditions du CIDIHCA,Pilier,Urbain,"Montréal, Québec",2000,2021,13,21
Éditions de la Grenouillère,Intermittent,Régions,"Saint-Sauveur-des-Monts, Québec",2011,2021,9,20
Andara,Ponctuel,Régions,"Morin-Heights, Québec",2013,2021,4,19
Messagers des étoiles,Intermittent,Régions,"Saint-Alphonse-de-Granby, Québec",2004,2014,10,19
Del Busso,Intermittent,Urbain,"Montréal, Québec",2014,2021,8,18
Homoromance,Intermittent,Banlieue,"Laval, Québec",2016,2021,6,17
La Veuve noire,Ponctuel,Banlieue,"Longueuil, Québec",2003,2008,5,17
Flammarion,Pilier,Urbain,"Montréal, Québec",2000,2020,11,16
Un Monde différent,Pilier,Banlieue,"Brossard, Québec",2000,2021,12,16
Annika Parance,Intermittent,Urbain,"Montréal, Québec",2012,2021,9,15
Guérin,Intermittent,Urbain,"Montréal, Québec",2002,2012,9,15
Les Allusifs,Pilier,Urbain,"Montréal, Québec",2001,2019,12,15
Éditions de l'Étoile de mer,Intermittent,Urbain,"Montréal, Québec",2011,2021,8,15
Éditions de la Paix,Intermittent,Régions,"Saguenay, Québec",2001,2016,8,15
Émeraude,Ponctuel,Urbain,"Sainte-Foy, Québec",2000,2002,3,15
Les Six brumes,Pilier,Régions,"Sherbrooke, Québec",2002,2020,12,14
La Draiglaán,Intermittent,Régions,"Saint-Ferdinand, Québec",2013,2018,6,13
Éditions de l'Interdit,Ponctuel,Régions,"Saint-Sauveur-des-Monts, Québec",2010,2014,5,13
Archimède,Intermittent,Banlieue,"Saint-Jean-sur-Richelieu, Québec",2000,2018,7,12
Lo-Ély,Ponctuel,Régions,"Lachute, Québec",2019,2021,3,12
Publibook,Ponctuel,Urbain,"Montréal, Québec",2015,2017,3,12
Rodrigol,Intermittent,Urbain,"Montréal, Québec",2003,2019,8,12
Charlevoix,Intermittent,Régions,"La Malbaie, Québec",2012,2021,8,11
Clermont,Ponctuel,Banlieue,"Rosemère, Québec",2013,2015,3,11
Mon petit éditeur,Ponctuel,Urbain,"Montréal, Québec",2014,2018,5,11
À l'étage,Ponctuel,Urbain,"Montréal, Québec",2015,2018,4,11
Éditions de Mine,Intermittent,Régions,"Magog, Québec",2003,2018,6,11
L'Effet pourpre,Ponctuel,Urbain,"Montréal, Québec",2000,2010,4,10
Merlin,Ponctuel,Régions,"Saint-Antonin, Québec",2003,2020,5,10
Mine d'art,Intermittent,Régions,"Berthierville, Québec",2014,2020,7,10
Éditions du Remue-ménage,Intermittent,Urbain,"Montréal, Québec",2000,2020,10,10
Éditions logiques,Intermittent,Urbain,"Montréal, Québec",2003,2019,10,10
Christian Feuillette,Ponctuel,Urbain,"Montréal, Québec",2005,2009,4,9
Deslandes,Ponctuel,Urbain,"Québec, Québec",2001,2005,5,9
Exit,Ponctuel,Régions,"Gatineau, Québec",2015,2019,4,9
Joey Cornu,Intermittent,Banlieue,"Rosemère, Québec",2003,2017,8,9
Éditions des Mots livrés,Ponctuel,Régions,"Donnacona, Québec",2013,2019,4,9
Éditions du Quartz,Ponctuel,Régions,"Rouyn-Noranda, Québec",2012,2021,5,9
De Courberon,Intermittent,Régions,"Saint-Patrice-de-Beaurivage, Québec",2001,2019,7,8
La Grenouille bleue,Ponctuel,Urbain,"Montréal, Québec",2009,2010,2,8
Le Temps volé,Intermittent,Urbain,"Montréal, Québec",2000,2010,7,8
Les 400 coups,Ponctuel,Urbain,"Montréal, Québec",2006,2012,4,8
SM,Intermittent,Régions,"Alma, Québec",2003,2014,8,8
Sylvain Harvey,Intermittent,Urbain,"Québec, Québec",2005,2018,7,8
Zyeudor,Intermittent,Banlieue,"Saint-Jean-sur-Richelieu, Québec",2015,2021,6,8
Éditions du Marais,Intermittent,Urbain,"Montréal, Québec",2008,2018,6,8
Art global,Ponctuel,Urbain,"Montréal, Québec",2001,2014,5,7
GGC,Intermittent,Régions,"Sherbrooke, Québec",2000,2009,6,7
Hashtag,Ponctuel,Urbain,"Montréal, Québec",2018,2021,4,7
NUM,Ponctuel,Urbain,"Montréal, Québec",2014,2021,5,7
Éditions de la Bagnole,Ponctuel,Banlieue,"Longueuil, Québec",2005,2011,5,7
Adage,Ponctuel,Urbain,"Montréal, Québec",2001,2008,5,6
Bleu azur,Ponctuel,Régions,"Chicoutimi, Québec",2009,2017,3,6
Huit,Ponctuel,Urbain,"Québec, Québec",2002,2008,5,6
L'Oie de Cravan,Ponctuel,Urbain,"Montréal, Québec",2015,2021,4,6
Les heures bleues,Ponctuel,Urbain,"Montréal, Québec",2010,2021,5,6
Porte-Bonheur,Ponctuel,Urbain,"Montréal, Québec",2012,2016,4,6
Éditions d'art Le Sabord,Ponctuel,Régions,"Trois-Rivières, Québec",2003,2006,4,6
Édito,Ponctuel,Urbain,"Montréal, Québec",2014,2019,5,6
Châteaufort,Ponctuel,Banlieue,"Longueuil, Québec",2011,2012,2,5
Contreforts,Ponctuel,Régions,"Chesterville, Québec",2005,2013,4,5
Cornac,Ponctuel,Urbain,"Québec, Québec",2015,2017,3,5
Gensen,Ponctuel,Banlieue,"Rosemère, Québec",2006,2008,3,5
L'Empire Desmarais Lavigne,Ponctuel,Régions,"Saint-Cyrille-de-Wendover, Québec",2015,2016,2,5
Les Éditeurs en feu,Ponctuel,Urbain,"Montréal, Québec",2018,2020,3,5
LouD,Ponctuel,Régions,"Granby, Québec",2016,2017,2,5
Perro,Ponctuel,Régions,"Shawinigan, Québec",2014,2017,4,5
Philémon,Ponctuel,Banlieue,"Longueuil, Québec",2002,2013,4,5
Québec Gerbivole,Ponctuel,Régions,"Rimouski, Québec",2001,2011,5,5
R2,Ponctuel,Régions,"Trois-Rivières, Québec",2012,2015,4,5
Sans âge,Ponctuel,Banlieue,"Saint-Romuald, Québec",2000,2000,1,5
Éditions d'art La Sauvagine,Ponctuel,Banlieue,"Lachenaie, Québec",2001,2005,3,5
Éditions des Immortels,Ponctuel,Régions,"Saint-Léon-le-Grand, Québec",2010,2014,3,5
Alexandre Stanké,Ponctuel,Banlieue,"Carignan, Québec",2001,2005,3,4
Félix,Ponctuel,Régions,"Chicoutimi, Québec",2000,2001,2,4
La Presse,Ponctuel,Urbain,"Montréal, Québec",2007,2018,4,4
Le Jour,Ponctuel,Urbain,"Montréal, Québec",2009,2018,4,4
Lumigny,Ponctuel,Régions,"Montréal, Québec",2016,2016,1,4
Popfiction,Ponctuel,Urbain,"Montréal, Québec",2009,2010,2,4
Poètes de brousse,Ponctuel,Urbain,"Montréal, Québec",2019,2021,3,4
