AR_id,Numero_notice,ISBN
1,0004617817,9782924379035
2,0004617817,9782924379059
3,0004617817,9782924379073
4,0004652427,9782981437709
5,0005245600,9782981437761
6,0002902713,2923125053
7,0000623760,2923125002
8,0004039267,9782981169426
9,0000574347,2922300366
10,0005691253,9782924568354
11,0005431129,9782924568262
12,0004997202,9782924568033
13,0005591255,9782924568316
14,0005159843,9782924568101
15,0005849723,9782924568361
16,0005667504,9782924568347
17,0005329947,9782924568194
18,0005002464,9782924568064
19,0005431156,9782924568231
20,0005427550,9782924568293
21,0003040291,2922762580
23,0004552389,9782330022655
24,0003854222,9782742791071
25,0003932804,9782760906563
26,0006457508,9782330146917
27,0000581280,2760921794
28,0005280852,9782330060695
29,0003613490,9782760928251
30,0005865436,9782330108670
31,0006568497,9782330151232
32,0005686578,9782330084578
33,0000628029,2742743510
34,0000581266,2742731741
35,0000619248,2895650934
36,0005900872,9782898032424
37,0005900872,9782898032455
38,0006111397,9782898032912
39,0004013341,9782896673421
40,0004013341,9782896673438
41,0005803289,9782897865276
42,0006239344,9782898082559
43,0006239344,9782898082580
44,0006239344,9782898082610
45,0005369694,9782897676186
46,0005369694,9782897676216
47,0006352066,2898087009
48,0000588608,2895650217
49,0005966833,9782898035524
50,0004036547,9782896673889
51,0006128438,2898030589
52,0005718861,9782897863616
53,0005925715,9782898031496
55,0006328417,2898086746
56,0005966827,9782898032882
57,0000613192,2895650675
58,0005900929,9782898032196
59,0005811421,9782897865368
60,0006574406,2898088242
61,0005315353,9782897674434
62,0005315353,9782897674465
63,0005315353,9782897866402
64,0005431101,9782897677787
65,0005431101,9782897862091
66,0004134860,9782896675067
67,0006169405,2898038814
68,0005777817,9782897864828
69,0006443281,2898087440
70,0005637182,9782897861438
71,0003631513,9782895658429
72,0005992472,9782898037153
73,0004581047,9782897334062
74,0004581047,9782897334093
75,0005637184,9782897861612
76,0003984185,9782896673063
77,0006622133,2898088374
78,0005811426,9782897866372
79,0006262966,2898082465
80,0003641204,9782895658672
81,0005872526,9782898030796
82,0004553314,9782897333546
83,0004553314,9782897333577
84,0004553314,9782897522681
85,0004553314,9782897673482
86,0004617813,9782897336493
87,0005401420,9782897676056
88,0005401420,9782897676087
89,0005401420,9782898030277
90,0004857580,9782897523442
91,0004857580,9782897523473
92,0005745371,9782897864415
93,0005925684,9782898033605
94,0005892168,9782898031014
95,0006068566,2898032948
96,0004620559,9782897337087
97,0004530015,9782897334635
98,0005892171,9782898030987
99,0005807755,9782897866013
100,0005807755,9782898030215
101,0005807755,9782898036767
102,0006130130,2898036730
103,0005852375,9782897867959
104,0006061731,2898037206
105,0005637199,9782897861469
106,0003884376,9782896671694
107,0005925697,9782898033544
108,0005925705,9782898033575
109,0004094473,9782896674596
110,0006071678,2898037575
111,0005445106,9782897677534
112,0005445106,9782897677565
113,0005445106,9782897862367
114,0006443282,2898085774
115,0005462058,9782897678081
116,0005339784,9782897674205
117,0005637236,9782897862602
118,0004335864,9782896677665
119,0004335864,9782896677672
120,0004335864,9782897330460
121,0005807688,9782897865955
122,0004618855,9782897336523
123,0004787192,9782897522537
124,0003984159,9782896672967
125,0003984159,9782896674749
126,0003984159,9782896677399
127,0003269777,9782895655756
128,0005777835,9782897864354
129,0005777835,9782897864385
130,0004457728,9782897330415
131,0004457728,9782897330422
132,0005468368,9782897678111
133,0005468368,9782897678142
134,0005468368,9782897862961
135,0006328416,9782898085895
136,0005777819,9782897864859
137,0006345887,9782898085741
138,0005852379,9782897868598
139,0005637204,9782897862428
140,0005849715,9782897867713
141,0005864965,9782897868994
142,0004675167,9782897337865
143,0004675167,9782897337896
144,0004675167,9782897523336
145,0006068564,2898033065
146,0005703249,9782897863357
147,0005892162,9782898031687
148,0006071677,2898036315
149,0005745372,9782897864514
150,0005883528,9782898030512
151,0005883528,9782898030642
152,0005745392,9782897864040
153,0003723041,9782895658924
154,0005756340,9782897864101
155,0006574407,2898088277
156,0006175560,9782898036347
157,0005745414,9782897863586
158,0005637226,9782897861230
159,0005637226,9782897868161
160,0005830178,9782897867478
161,0005830178,9782897867928
162,0003987783,9782896673056
163,0003135295,2895654670
164,0004152805,9782896675265
165,0005864976,9782897869021
166,0005811449,9782897866044
167,0005637174,9782897861520
168,0004701158,9782897339524
169,0004701158,9782897339555
170,0004701158,9782897527105
171,0005637196,9782897862244
172,0005637196,9782898035166
173,0004612078,9782897336677
174,0004612078,9782897336707
175,0004612078,9782897526658
176,0004612078,9782897862336
177,0003769891,9782895659617
178,0006109173,2898038415
179,0003745998,9782895659174
180,0005818178,9782897866075
181,0005184207,9782897671198
182,0004493725,9782897332570
183,0004493725,9782897332600
184,0004493725,9782897522995
185,0005779468,9782897864972
186,0005637209,9782897861643
187,0003064866,2895654093
188,0006116456,2898037338
189,0003729149,9782895659099
190,0005637217,9782897861490
191,0005914195,9782898031748
192,0005849720,9782897867508
193,0006111400,2898037826
194,0005872563,9782898030857
195,0005936541,9782898030888
196,0005830173,9782897867416
197,0005849731,9782897868338
198,0003746015,9782895658818
199,0006274572,9782898082498
200,0005989415,2898033480
201,0005866362,9782897867386
202,0006344750,2898085928
203,0004285862,9782896677009
204,0004285862,9782896677016
205,0004285862,9782897520496
206,0005427589,9782897676537
207,0003875061,9782896671601
208,0004094489,9782896674619
209,0005930949,9782898033124
210,0006068565,9782898033094
211,0003182417,2895654980
212,0005852417,9782897867652
213,0005852417,9782898034343
214,0005852417,9782898190544
215,0006125742,2898032816
216,0005883564,9782898030482
217,0005811420,9782897865610
218,0005930948,9782898034411
219,0006268401,2898036439
221,0004152796,9782896675203
222,0004152796,9782896675210
223,0004152796,9782897337544
224,0005849747,9782897868468
225,0006111399,2898037303
226,0003813750,9782896670482
227,0000608282,2895650640
228,0002651368,2895652376
229,0005756341,9782897864071
230,0005534959,9782897679828
231,0006125701,2898036951
232,0000588612,2895650241
233,0006109649,9782898033001
234,0005882637,9782898031137
235,0000619247,2895650853
237,0005900946,9782898031830
238,0006116455,2898037796
240,0005807722,9782897865306
241,0005807722,9782897865337
243,0000578500,2895650152
244,0000587903,2921956071
245,0002659982,2921956179
246,0003303675,9782921956154
247,0002854353,2921956217
248,0002912752,2921956241
249,0002522276,2921956160
250,0003851306,9782923790008
251,0003851306,9782923790015
252,0002653646,2226154957
253,0003256029,9782226176899
254,0002605225,2226151109
255,0000604771,2226132953
256,0000577721,2226121579
257,0004937560,9782226314741
258,0002565931,9782895581895
259,0003100535,2-89558-270-X
260,0000606120,2-89558-043-X
261,0002912755,2895582246
262,0006289453,9782896152209
263,0004584554,9782896150847
264,0005056965,9782896151264
265,0006205122,9782896152070
266,0005876989,9782896151875
267,0005876989,9782896151974
268,0005876989,9782896152193
269,0004649213,9782896151035
270,0005370618,9782896151561
271,0005078882,9782896151394
272,0006554188,9782896152254
273,0006166798,9782896152056
274,0006192831,9782896151622
275,0003767310,9782896150434
276,0004688808,9782896151059
277,0005633787,9782896151639
278,0005079176,9782896151400
279,0003341941,9782896150199
280,0005399401,9782896151646
281,0000624287,9782922145755
282,0003754446,9782896150397
283,0004003589,9782896150649
284,0006463105,9782896152285
285,0004210066,9782896150793
286,0004110817,9782896150694
287,0005667237,9782896151769
288,0003133811,2896150080
289,0000622696,2922145719
290,0005081630,9782896151363
291,0004944481,9782896151257
292,0004584583,9782896150991
293,0003072163,2896150048
294,0005056976,9782896151349
295,0003076093,2896150056
296,0003271475,9782896150151
297,0004117009,9782896150724
298,0005146536,9782896151370
299,0003909324,9782896150557
300,0005616546,9782896151721
301,0006290768,9782896152186
302,0004944519,9782896151233
303,0005761719,9782896151820
304,0005250318,9782896151493
305,0004474836,9782896150915
306,0004474836,9782896151189
307,0004474836,9782896151387
308,0003868093,9782896150571
309,0002515573,2922145778
310,0005081610,9782896151332
311,0003754454,9782896150427
312,0003550458,9782896150267
313,0002954326,2922145964
314,0006000458,9782896151998
315,0002515571,2922145786
316,0006367470,9782896152261
317,0004816254,9782896151158
318,0005890146,9782896151899
319,0003288357,9782896150090
320,0003913660,9782896150601
321,0003913660,9782896150632
322,0003913660,9782896151004
323,0005399402,9782896151592
324,0002861853,2922145875
